2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Social and community service managers,11-9151,199.5,215.9,16.4,8.2,"78,240",Bachelor's degree,4.4,3.6,3.3,3.6,3.7,3.6,2.1,4.1,3.9,2.9,1.4,1.5,4.1,3.1,1.7,3.7,3.8
"  Educational, guidance, and career counselors and advisors",21-1012,360.8,377.0,16.2,4.5,"65,140",Master's degree,4.4,3.5,3.0,3.4,3.7,3.4,1.6,4.5,3.5,2.2,1.1,1.7,3.9,2.7,1.2,3.8,4.0
"  Mobile heavy equipment mechanics, except engines",49-3042,191.1,207.3,16.2,8.5,"63,980",High school diploma or equivalent,3.5,3.2,2.8,3.1,2.8,3.9,3.9,3.1,2.9,2.9,4.0,3.3,3.7,2.7,2.0,2.7,3.1
"  Nursing instructors and teachers, postsecondary",25-1072,89.9,105.9,16.1,17.9,"79,940",Doctoral or professional degree,4.4,3.9,3.1,3.7,3.6,4.0,2.4,4.1,4.0,3.2,1.5,2.2,3.9,3.0,2.8,3.9,4.1
  Administrative services managers,11-3012,256.8,272.8,16.0,6.2,"108,390",Bachelor's degree,4.0,3.6,2.9,3.5,3.4,3.6,2.0,3.6,3.7,2.7,1.8,1.8,3.6,3.6,1.4,3.5,3.8
"  Substitute teachers, short-term[2]",25-3031,473.3,489.2,15.9,3.4,"38,470",Bachelor's degree,4.1,3.3,3.1,3.1,3.2,3.1,1.6,4.1,3.2,3.0,1.2,1.2,3.3,2.3,2.4,3.6,4.0
  First-line supervisors of personal service workers,39-1022,155.9,171.7,15.8,10.1,"47,080",High school diploma or equivalent,3.9,2.9,3.0,3.2,3.8,3.5,2.0,4.0,3.7,2.3,1.6,2.3,3.9,3.1,1.6,3.6,3.4
  Chefs and head cooks,35-1011,187.1,202.6,15.5,8.3,"60,990",High school diploma or equivalent,4.1,3.4,3.5,3.5,3.9,3.8,3.0,3.6,4.2,3.3,2.4,2.8,3.8,3.8,2.4,3.7,3.2
  Food batchmakers,51-3092,171.3,186.8,15.5,9.1,"40,790",High school diploma or equivalent,3.6,2.7,2.3,2.8,2.0,3.8,3.0,3.1,2.9,2.6,2.4,2.6,3.1,2.1,2.3,2.8,3.0
"  Property, real estate, and community association managers",11-9141,467.1,482.2,15.1,3.2,"66,700",High school diploma or equivalent,4.0,3.5,2.6,3.2,3.7,3.5,1.5,3.5,3.8,3.2,1.5,1.4,3.6,3.4,1.5,3.5,3.7
"  Cooks, institution and cafeteria",35-2012,456.3,471.1,14.9,3.3,"36,450",No formal educational credential,3.8,2.2,2.5,2.8,3.0,3.7,3.1,3.5,3.2,2.9,1.8,2.7,3.3,2.9,1.6,2.8,2.9
  Mental health and substance abuse social workers,21-1023,123.7,138.1,14.4,11.6,"60,060",Master's degree,4.2,3.6,3.1,3.6,3.5,3.5,1.4,4.4,3.3,2.1,1.3,1.6,3.7,2.9,1.7,3.8,4.0
  Financial examiners,13-2061,65.5,79.2,13.8,21.0,"90,400",Bachelor's degree,3.9,3.5,2.3,4.0,2.4,3.5,1.3,3.2,3.5,3.3,1.1,1.1,3.8,2.5,1.1,3.5,4.0
  Firefighters,33-2011,326.8,340.5,13.7,4.2,"59,530",Postsecondary nondegree award,4.3,3.1,2.7,3.2,3.7,4.0,3.2,4.0,3.6,2.8,3.1,3.4,3.8,2.7,2.7,3.4,3.1
"  Food servers, nonrestaurant",35-3041,278.6,292.2,13.7,4.9,"34,460",No formal educational credential,3.6,2.4,2.4,2.7,3.4,3.5,2.6,3.5,3.1,2.2,1.7,2.9,3.1,2.5,1.6,2.9,2.5
"  Painters, construction and maintenance",47-2141,338.9,352.4,13.6,4.0,"48,660",No formal educational credential,3.5,2.1,2.7,2.7,2.7,3.5,3.2,3.2,3.4,2.3,2.2,3.2,3.0,2.7,2.0,2.7,2.7
  Human resources managers,11-3121,208.9,222.5,13.5,6.5,"140,030",Bachelor's degree,4.3,3.5,3.0,3.7,3.4,3.7,1.9,3.9,4.2,2.9,1.2,1.3,4.2,3.3,1.3,3.8,4.1
  Producers and directors,27-2012,167.9,181.5,13.5,8.0,"83,480",Bachelor's degree,4.0,3.7,3.8,3.5,3.2,3.7,2.3,3.6,3.6,2.4,1.6,1.6,4.0,3.3,1.1,4.0,3.7
"  Physicians, all other[2]",29-1229,337.0,350.1,13.1,3.9,">=239,200",Doctoral or professional degree,4.4,3.6,2.6,3.9,3.5,4.3,2.6,4.3,3.2,2.9,1.4,1.7,4.3,2.5,3.4,3.7,4.2
  Radiologic technologists and technicians,29-2034,227.8,241.0,13.1,5.8,"77,660",Associate's degree,4.0,3.7,2.4,3.0,3.6,3.9,3.2,4.0,3.1,2.3,2.4,2.7,3.5,2.3,2.6,3.3,3.3
  Flight attendants,53-2031,130.3,143.2,12.9,9.9,"67,130",High school diploma or equivalent,4.1,2.9,2.6,2.9,4.3,4.0,2.3,4.1,2.9,2.0,1.5,3.1,3.7,2.5,1.5,3.9,2.9
  Diagnostic medical sonographers,29-2032,84.9,97.7,12.8,15.1,"89,340",Associate's degree,4.2,3.2,2.7,3.2,3.6,4.0,3.3,4.0,3.1,2.3,2.5,2.7,3.5,2.5,3.0,3.3,3.7
  Self-enrichment teachers,25-3021,370.1,382.8,12.7,3.4,"45,590",High school diploma or equivalent,4.0,2.9,3.3,2.9,2.8,3.1,2.1,3.7,3.4,2.1,1.4,1.8,3.4,2.2,1.5,3.4,3.3
  Bakers,51-3011,243.4,256.1,12.7,5.2,"36,650",No formal educational credential,3.4,2.2,2.6,2.6,2.7,3.6,3.0,3.0,2.8,2.5,1.7,2.4,3.1,2.3,1.7,2.8,2.6
"  Health technologists and technicians, all other[2]",29-2099,177.9,190.4,12.5,7.0,"48,790",Postsecondary nondegree award,4.0,3.4,2.5,3.2,3.4,4.0,2.9,3.8,3.2,2.8,2.0,2.5,3.5,2.6,2.4,3.3,3.5
  Marriage and family therapists,21-1013,76.0,88.2,12.3,16.2,"63,780",Master's degree,4.3,3.6,3.1,3.6,3.5,3.2,1.3,4.5,2.8,1.9,1.1,1.3,4.1,2.2,1.6,3.7,3.9
  Medical equipment repairers,49-9062,67.0,79.3,12.3,18.4,"62,630",Associate's degree,3.8,3.7,2.4,3.1,2.7,4.0,3.2,3.1,2.4,2.9,3.6,2.5,3.6,2.6,2.1,2.7,3.0
  Computer network support specialists,15-1231,166.7,178.8,12.1,7.3,"73,340",Associate's degree,4.1,4.1,2.7,3.5,2.6,3.8,2.4,3.2,2.8,2.3,2.5,1.6,3.6,2.6,1.3,3.3,3.3
  Solar photovoltaic installers,47-2231,25.0,37.0,12.0,48.0,"51,860",High school diploma or equivalent,3.5,2.2,2.7,2.9,2.8,3.7,3.2,3.0,3.2,2.5,3.1,3.1,3.5,2.7,1.8,2.7,2.7
  Architectural and engineering managers,11-9041,210.2,221.8,11.6,5.5,"167,740",Bachelor's degree,4.1,3.7,3.4,3.7,3.2,3.5,2.0,3.3,4.0,3.8,1.7,1.3,4.0,3.2,2.4,3.7,4.0
"  Personal care and service workers, all other[2]",39-9099,93.1,104.4,11.3,12.1,"37,900",High school diploma or equivalent,3.9,2.5,3.1,2.8,3.3,3.3,1.9,3.9,3.2,2.1,1.4,2.7,3.3,2.5,1.5,3.2,3.0
"  First-line supervisors of entertainment and recreation workers, except gambling services[2]",39-1014,123.3,134.6,11.2,9.1,"46,900",High school diploma or equivalent,3.9,2.9,3.0,3.2,3.8,3.5,2.0,4.0,3.7,2.3,1.6,2.3,3.9,3.1,1.6,3.6,3.4
  Phlebotomists,31-9097,141.2,152.2,11.0,7.8,"43,660",Postsecondary nondegree award,4.1,3.5,2.6,2.9,3.8,4.3,2.8,4.1,3.5,2.2,2.0,2.5,3.4,2.9,2.5,3.2,3.3
  Maids and housekeeping cleaners,37-2012,"1,335.5","1,346.2",10.8,0.8,"34,660",No formal educational credential,3.4,1.8,2.1,2.3,2.9,3.1,2.6,3.3,2.5,1.9,1.6,3.2,2.5,2.4,1.6,2.6,2.4
  Laundry and dry-cleaning workers,51-6011,195.4,206.2,10.8,5.5,"33,800",No formal educational credential,3.1,1.7,2.1,2.4,2.5,3.1,2.8,3.1,2.9,1.9,2.2,2.7,2.8,2.5,1.6,2.7,2.3
  Occupational therapy assistants,31-2011,47.5,58.1,10.6,22.3,"68,340",Associate's degree,4.2,3.3,3.3,3.1,3.5,3.7,2.6,4.4,3.4,2.1,1.7,2.9,3.8,2.7,1.9,3.3,3.7
  Ophthalmic medical technicians,29-2057,74.8,85.3,10.5,14.1,"44,080",Postsecondary nondegree award,4.1,3.4,2.1,2.7,3.6,3.9,2.9,3.8,3.1,2.7,2.0,2.0,3.3,2.1,1.9,3.1,3.2
  Emergency medical technicians[2],29-2042,169.7,180.0,10.3,6.1,"41,340",Postsecondary nondegree award,3.8,2.9,2.5,2.8,3.5,3.9,2.8,3.8,2.8,2.2,2.6,2.9,3.4,2.5,1.8,3.2,3.1
  Cargo and freight agents,43-5011,106.7,117.0,10.3,9.7,"49,900",High school diploma or equivalent,3.6,3.0,2.4,2.9,3.1,3.6,2.2,2.9,2.5,2.5,2.2,1.8,3.3,2.2,1.3,3.3,3.2
  Web and digital interface designers[2],15-1255,128.6,138.8,10.2,7.9,"98,090",Bachelor's degree,3.8,4.3,3.4,3.7,2.5,3.7,2.5,2.7,2.8,3.0,1.5,1.2,3.6,2.7,1.3,3.2,3.4
  Clinical and counseling psychologists,19-3033,76.8,87.0,10.2,13.3,"95,830",Doctoral or professional degree,4.2,3.4,3.0,3.5,3.5,3.5,1.4,4.5,3.0,2.3,1.1,1.2,3.8,2.3,1.8,3.9,4.2
"  Bus drivers, transit and intercity",53-3052,194.1,204.1,10.1,5.2,"57,440",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,325.3,335.3,10.0,3.1,"100,070",Bachelor's degree,3.7,3.1,2.6,3.0,3.5,3.4,1.9,3.5,2.5,3.0,1.4,1.4,3.5,2.6,1.6,3.7,3.5
"  Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"1,356.1","1,366.1",10.0,0.7,"66,780",High school diploma or equivalent,4.0,3.5,3.2,3.0,4.2,3.1,2.0,3.6,2.7,2.7,1.5,1.9,3.8,2.7,1.0,3.5,3.3
"  Meeting, convention, and event planners",13-1121,149.0,158.9,9.9,6.6,"59,440",Bachelor's degree,4.3,3.5,3.5,3.5,3.9,3.5,2.2,3.9,3.8,2.8,1.9,2.2,4.0,3.7,1.5,3.7,3.9
"  Architects, except landscape and naval",17-1011,127.3,137.2,9.9,7.8,"96,690",Bachelor's degree,4.0,4.0,3.9,4.0,3.2,3.8,2.1,3.4,3.7,3.4,1.6,1.4,3.7,3.4,2.4,3.5,3.9
  First-line supervisors of housekeeping and janitorial workers,37-1011,241.6,251.4,9.8,4.0,"47,520",High school diploma or equivalent,3.9,3.0,2.7,2.9,3.4,3.5,2.5,3.8,4.2,2.3,2.2,2.7,3.4,3.4,1.6,3.2,3.1
  Roofers,47-2181,168.1,177.9,9.8,5.8,"50,970",No formal educational credential,3.5,1.9,2.6,2.7,3.1,3.8,3.1,3.0,3.4,2.4,2.6,3.5,3.2,2.7,1.8,2.7,2.5
"  Counselors, all other[2]",21-1019,65.9,75.4,9.5,14.4,"49,830",Master's degree,4.2,3.5,3.0,3.5,3.6,3.3,1.5,4.5,3.3,2.2,1.2,1.6,3.8,2.7,1.5,3.8,4.0
  Computer and information research scientists,15-1221,36.6,46.0,9.4,25.6,"140,910",Master's degree,3.7,4.5,3.3,4.0,2.5,3.4,2.3,3.0,3.0,3.5,1.8,1.2,3.8,2.9,2.4,3.4,3.8
  Electrical power-line installers and repairers,49-9051,123.4,132.8,9.4,7.6,"92,560",High school diploma or equivalent,3.7,2.3,2.5,3.0,3.0,4.0,3.4,3.1,3.3,2.2,3.3,3.2,3.9,2.2,1.8,2.8,2.8
"  Welders, cutters, solderers, and brazers",51-4121,454.5,463.8,9.3,2.0,"51,000",High school diploma or equivalent,3.1,1.8,2.3,2.6,2.0,3.7,3.2,2.7,2.4,2.3,2.3,2.6,2.9,2.0,1.7,2.4,2.1
"  Electronics engineers, except computer",17-2072,98.7,107.6,8.9,9.1,"127,590",Bachelor's degree,3.6,4.1,3.1,4.0,2.0,3.6,2.5,2.8,2.8,3.6,2.8,1.5,3.7,2.8,2.5,3.3,3.8
"  Lifeguards, ski patrol, and other recreational protective service workers",33-9092,129.1,137.9,8.8,6.8,"33,720",No formal educational credential,3.8,2.7,2.2,2.6,3.4,3.7,1.9,3.7,3.2,1.7,1.8,2.8,3.4,2.2,2.0,3.0,2.7
  Web developers,15-1254,94.1,102.5,8.5,9.0,"90,930",Bachelor's degree,3.8,4.3,3.4,3.7,2.5,3.7,2.5,2.7,2.8,3.0,1.5,1.2,3.6,2.7,1.3,3.2,3.4
  Bus and truck mechanics and diesel engine specialists,49-3031,300.2,308.7,8.5,2.8,"60,640",High school diploma or equivalent,3.6,3.1,2.6,3.2,2.5,3.8,3.7,2.9,2.8,2.3,3.8,3.2,3.7,2.4,2.4,2.8,2.8
  Merchandise displayers and window trimmers,27-1026,176.4,184.7,8.4,4.8,"37,350",High school diploma or equivalent,3.6,2.7,3.4,3.0,3.4,3.1,2.8,3.2,3.1,2.1,1.5,3.2,3.3,2.6,1.2,3.2,3.0
  Skincare specialists,39-5094,81.8,90.2,8.4,10.3,"41,560",Postsecondary nondegree award,4.0,1.6,2.9,2.7,3.7,3.6,2.9,3.9,2.5,1.6,1.5,2.2,3.2,1.9,1.9,3.2,2.9
  Community health workers,21-1094,63.4,71.7,8.3,13.1,"51,030",High school diploma or equivalent,4.2,3.6,3.2,3.3,3.8,3.4,2.6,4.3,3.6,2.3,1.6,2.2,3.6,3.2,1.7,3.8,4.0
"  Financial specialists, all other[2]",13-2099,129.8,137.9,8.1,6.2,"80,190",Bachelor's degree,3.9,3.6,2.6,3.6,3.1,3.8,1.7,3.3,3.2,3.7,1.1,1.2,3.8,2.9,1.2,3.4,3.8
"  Engineers, all other[2]",17-2199,161.1,169.2,8.0,5.0,"117,750",Bachelor's degree,3.8,3.8,3.1,3.9,2.7,3.8,2.0,3.0,3.2,3.7,2.0,1.4,3.8,3.0,2.8,3.4,3.8
  Real estate sales agents,41-9022,430.7,438.7,7.9,1.8,"56,320",High school diploma or equivalent,4.0,3.6,2.8,3.0,4.0,3.6,1.7,3.8,3.3,3.1,1.7,1.7,3.8,3.0,1.3,3.7,3.6
"  First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,222.4,230.2,7.8,3.5,"56,170",High school diploma or equivalent,3.9,3.1,2.8,3.1,3.6,3.7,3.0,3.3,4.1,2.9,2.8,2.8,3.8,3.5,2.5,3.3,3.2
  Writers and authors,27-3043,150.7,158.4,7.7,5.1,"72,270",Bachelor's degree,3.9,3.2,3.3,2.7,3.3,3.3,1.6,3.2,3.2,1.7,1.1,1.3,3.5,2.1,1.0,3.7,4.1
  Natural sciences managers,11-9121,100.1,107.6,7.5,7.5,"161,180",Bachelor's degree,4.2,3.8,3.0,3.9,2.7,3.8,1.9,3.3,4.0,3.2,1.8,1.7,3.8,3.6,3.5,3.6,4.0
  Facilities managers[2],11-3013,140.5,147.9,7.4,5.3,"104,690",Bachelor's degree,4.1,3.5,3.1,3.6,3.6,3.6,1.7,3.7,4.0,3.0,1.7,1.7,4.1,3.6,1.7,3.5,3.8
  Fundraisers,13-1131,125.9,133.3,7.4,5.9,"66,490",Bachelor's degree,3.9,3.6,3.2,3.5,3.7,3.3,1.6,3.9,3.5,3.0,1.3,1.2,3.7,3.2,1.1,3.9,3.9
"  Teaching assistants, postsecondary",25-9044,184.6,192.1,7.4,4.0,"44,930",Bachelor's degree,3.8,3.6,3.1,2.9,2.4,3.4,1.7,3.5,3.1,2.5,1.3,1.3,3.1,2.3,2.1,3.6,3.7
  Security and fire alarm systems installers,49-2098,86.0,93.4,7.4,8.6,"59,300",High school diploma or equivalent,4.0,3.4,2.7,3.1,3.2,3.8,3.0,3.1,2.9,2.3,3.1,2.7,3.8,2.4,1.6,3.1,3.0
  Aircraft mechanics and service technicians,49-3011,141.4,148.7,7.3,5.2,"78,680",Postsecondary nondegree award,3.8,3.1,2.7,3.4,2.7,4.2,3.5,3.2,3.2,2.6,3.9,2.7,3.9,2.6,2.4,2.9,3.5
"  Compensation, benefits, and job analysis specialists",13-1141,103.7,111.0,7.2,7.0,"77,020",Bachelor's degree,4.0,3.6,2.9,3.7,2.7,3.8,1.7,3.3,3.0,3.2,1.2,1.2,3.7,2.7,1.7,3.4,3.7
"  Installation, maintenance, and repair workers, all other[2]",49-9099,201.5,208.7,7.2,3.6,"48,640",High school diploma or equivalent,3.7,3.0,2.8,3.1,2.9,3.7,3.4,3.1,3.1,2.5,3.6,3.1,3.6,2.7,1.9,2.8,3.0
"  Motor vehicle operators, all other[2]",53-3099,86.5,93.6,7.1,8.3,"36,260",No formal educational credential,3.6,2.5,2.2,2.6,3.1,3.8,3.3,3.0,2.5,2.2,2.6,2.7,3.3,2.3,1.4,2.8,2.8
"  Business teachers, postsecondary",25-1011,104.9,111.9,7.0,6.7,"97,270",Doctoral or professional degree,4.2,3.5,3.0,3.6,2.9,3.1,1.5,3.4,3.3,3.3,1.2,1.2,3.6,2.5,1.5,4.0,4.1
  Miscellaneous assemblers and fabricators[2],51-2090,"1,520.8","1,527.9",7.0,0.5,"42,210",High school diploma or equivalent,3.4,2.7,2.4,2.8,2.2,3.6,3.2,3.0,3.1,2.3,2.4,2.6,3.2,2.4,1.7,2.8,2.9
  Dishwashers,35-9021,475.0,481.9,6.9,1.4,"33,670",No formal educational credential,3.3,1.8,2.2,2.2,2.6,3.0,3.0,3.2,2.9,2.1,2.3,2.8,3.1,2.5,1.5,2.5,2.1
  Pest control workers,37-2021,98.2,105.1,6.9,7.0,"44,730",High school diploma or equivalent,3.7,2.2,2.6,3.1,3.4,3.6,3.0,3.3,2.7,2.7,2.5,3.0,3.7,2.8,2.5,3.2,3.3
"  Food preparation and serving related workers, all other[2]",35-9099,88.6,95.3,6.8,7.6,"34,830",No formal educational credential,3.4,2.0,2.1,2.3,3.3,3.0,2.6,3.4,2.8,2.1,1.7,2.8,2.9,2.4,1.4,2.9,2.2
  Wind turbine service technicians,49-9081,11.4,18.2,6.8,60.1,"62,580",Postsecondary nondegree award,3.8,3.7,2.5,3.3,2.5,4.1,3.5,3.2,3.5,2.4,3.9,3.4,3.8,2.8,2.1,3.0,3.1
"  Dentists, general",29-1021,141.0,147.7,6.7,4.8,"172,790",Doctoral or professional degree,4.2,3.2,2.9,3.6,4.0,4.4,4.0,4.1,3.8,2.8,2.3,2.4,4.3,3.6,3.2,3.5,3.6
  Database administrators,15-1242,80.5,87.1,6.6,8.2,"104,620",Bachelor's degree,3.7,4.3,2.8,3.7,2.3,3.8,1.9,3.2,2.8,3.2,1.6,1.3,3.8,2.7,1.5,3.1,3.5
  Database architects,15-1243,61.4,68.0,6.6,10.8,"135,980",Bachelor's degree,3.6,4.3,2.9,3.9,2.3,3.8,2.1,2.9,3.1,3.2,1.4,1.2,3.8,2.6,1.4,3.2,3.5
  Actuaries,15-2011,30.2,36.8,6.6,21.8,"125,770",Bachelor's degree,3.6,3.8,2.7,4.1,2.1,3.7,1.4,2.7,3.1,4.5,1.1,1.1,3.9,2.6,1.3,3.4,4.0
  Chemists,19-2031,87.2,93.8,6.6,7.6,"84,150",Bachelor's degree,3.9,3.7,2.8,3.8,2.4,3.9,2.5,2.9,3.3,3.7,2.4,1.9,3.7,2.9,3.7,3.2,3.9
  Art directors,27-1011,126.6,133.2,6.6,5.2,"111,040",Bachelor's degree,4.0,3.6,4.4,3.5,2.6,3.3,2.4,3.4,3.2,2.3,1.3,1.2,3.7,2.8,1.2,3.7,3.6
  Graphic designers,27-1024,267.2,273.8,6.6,2.5,"61,300",Bachelor's degree,4.0,3.8,4.4,3.1,2.9,3.5,2.4,3.3,3.1,2.1,1.4,1.2,3.4,2.8,1.3,3.5,3.4
"  Meat, poultry, and fish cutters and trimmers",51-3022,141.1,147.7,6.6,4.7,"37,700",No formal educational credential,3.3,2.1,2.5,2.5,3.0,3.9,3.3,3.2,3.3,2.5,2.4,2.8,3.1,2.6,2.1,2.7,2.5
  Industrial production managers,11-3051,230.1,236.7,6.5,2.8,"121,440",Bachelor's degree,4.0,3.5,2.9,3.7,2.9,3.8,2.4,3.4,3.9,3.3,2.5,2.1,4.1,3.5,1.8,3.5,3.6
  Clergy,21-2011,260.1,266.7,6.5,2.5,"60,820",Bachelor's degree,4.1,3.1,3.6,3.3,3.4,3.5,1.4,4.3,3.8,2.0,1.3,1.3,3.8,3.0,1.3,4.3,3.8
"  Postsecondary teachers, all other[2]",25-1199,202.5,209.0,6.5,3.2,"78,490",Doctoral or professional degree,4.2,3.6,3.3,3.6,2.9,3.4,1.8,3.6,3.5,2.8,1.5,1.5,3.7,2.7,2.4,4.0,4.1
  Surgical technologists,29-2055,112.8,119.3,6.5,5.8,"62,830",Postsecondary nondegree award,4.1,2.6,2.6,2.9,3.1,4.3,3.2,3.8,3.4,2.7,2.5,2.7,3.7,2.9,2.3,3.0,3.1
  Health information technologists and medical registrars[2],29-9021,39.1,45.5,6.4,16.3,"67,310",Associate's degree,3.7,4.3,2.6,3.7,2.6,3.6,1.8,3.1,3.3,3.3,1.4,1.2,3.4,2.8,2.0,3.5,3.8
  Parking attendants,53-6021,120.9,127.3,6.4,5.3,"34,600",No formal educational credential,3.2,2.0,1.9,2.4,3.3,3.5,2.9,3.2,2.4,2.6,1.9,2.8,2.9,2.0,1.3,3.1,2.7
"  Court, municipal, and license clerks",43-4031,165.1,171.4,6.3,3.8,"47,700",High school diploma or equivalent,3.9,3.7,2.3,3.0,3.6,3.6,2.4,3.5,2.9,2.6,1.4,1.4,3.2,2.4,1.1,3.3,3.3
"  Education administrators, postsecondary",11-9033,216.4,222.7,6.2,2.9,"103,960",Master's degree,4.2,3.4,3.4,3.6,3.3,3.6,1.3,3.8,3.9,2.9,1.1,1.3,4.2,3.4,1.4,3.8,4.1
  Computer hardware engineers,17-2061,84.1,90.2,6.1,7.2,"155,020",Bachelor's degree,3.8,4.2,3.3,4.0,2.2,3.6,2.2,2.7,3.1,3.4,2.2,1.2,3.7,2.7,2.4,3.4,3.9
"  Environmental scientists and specialists, including health",19-2041,84.6,90.7,6.1,7.3,"80,060",Bachelor's degree,3.9,3.7,2.5,3.8,3.1,3.4,1.6,3.1,3.1,3.1,1.6,1.7,3.5,2.8,3.4,3.6,4.0
"  Community and social service specialists, all other[2]",21-1099,103.6,109.8,6.1,5.9,"54,940",Bachelor's degree,4.2,3.6,3.0,3.4,3.8,3.4,1.6,4.3,3.3,2.1,1.3,1.8,3.8,2.7,1.6,3.8,3.9
  Chiropractors,29-1011,61.2,67.3,6.1,9.9,"79,000",Doctoral or professional degree,4.1,3.5,2.8,3.5,3.5,4.0,3.0,4.1,3.5,2.4,1.6,2.8,4.1,3.0,2.9,3.4,3.9
"  Healthcare support workers, all other[2]",31-9099,108.5,114.6,6.1,5.6,"46,050",High school diploma or equivalent,4.1,3.4,2.7,3.0,3.6,3.9,2.7,3.9,3.1,2.5,2.0,2.5,3.3,2.9,2.1,3.3,3.4
  Highway maintenance workers,47-4051,160.4,166.5,6.1,3.8,"49,070",High school diploma or equivalent,3.2,2.4,2.5,2.6,3.6,3.8,3.4,3.4,3.3,2.3,2.7,3.2,3.3,2.6,1.8,2.8,2.6
  Dietitians and nutritionists,29-1031,81.3,87.3,6.0,7.4,"73,850",Bachelor's degree,3.9,3.7,2.8,3.7,3.3,3.4,1.4,4.1,3.2,3.2,1.2,1.3,3.7,3.0,3.1,3.6,4.0
  Food service managers,11-9051,393.6,399.5,5.9,1.5,"65,310",High school diploma or equivalent,3.9,3.1,2.5,3.2,3.9,3.5,2.7,3.7,3.7,3.1,1.9,2.5,3.6,3.2,1.7,3.4,3.3
  Paramedics[2],29-2043,100.6,106.5,5.9,5.9,"58,410",Postsecondary nondegree award,4.2,3.6,2.8,3.6,3.8,4.0,2.7,4.3,3.8,3.1,1.7,2.8,3.9,2.7,2.5,3.5,3.9
  Photographers,27-4021,151.1,156.9,5.8,3.9,"42,520",High school diploma or equivalent,4.0,3.7,3.9,3.0,3.8,3.4,2.9,3.6,3.2,2.1,2.1,2.2,3.4,3.0,1.6,3.4,3.0
  Tile and stone setters,47-2044,55.6,61.4,5.8,10.4,"52,240",No formal educational credential,3.5,1.6,2.7,2.8,2.3,3.8,3.3,2.7,2.9,2.9,2.3,3.2,3.1,2.5,1.5,2.6,2.6
  Family medicine physicians,29-1215,120.3,126.1,5.7,4.8,"238,380",Doctoral or professional degree,4.5,3.6,2.4,3.9,3.7,4.5,2.6,4.4,2.9,2.9,1.1,1.3,4.3,2.1,3.3,3.8,4.2
  Tire repairers and changers,49-3093,107.6,113.3,5.7,5.3,"37,120",High school diploma or equivalent,3.4,2.2,2.5,2.7,3.5,3.9,3.3,3.0,2.9,2.2,2.9,3.3,3.3,2.4,1.4,2.7,2.5
  Biological technicians,19-4021,83.1,88.6,5.5,6.6,"52,000",Bachelor's degree,3.9,3.7,2.7,3.5,1.8,3.8,2.8,2.8,2.5,3.1,2.1,2.1,3.2,2.7,3.3,3.2,3.6
  First-line supervisors of police and detectives,33-1012,144.5,150.0,5.5,3.8,"105,980",High school diploma or equivalent,4.3,3.7,2.9,3.6,4.2,4.1,2.6,4.0,4.2,2.6,1.9,2.5,4.1,3.4,1.7,3.8,3.9
  Farm equipment mechanics and service technicians,49-3041,48.0,53.5,5.5,11.4,"52,080",High school diploma or equivalent,3.6,2.8,2.6,3.2,2.9,3.9,3.9,3.1,2.6,2.7,3.7,3.3,3.6,2.4,2.2,2.8,2.9
  Public relations managers[2],11-2032,78.4,83.8,5.4,6.9,"138,520",Bachelor's degree,4.0,3.4,3.3,3.5,3.7,3.7,1.4,3.6,3.5,2.1,1.1,1.2,3.8,3.0,1.2,4.1,4.0
"  Biological science teachers, postsecondary",25-1042,64.9,70.3,5.4,8.4,"83,460",Doctoral or professional degree,4.2,3.8,3.3,3.7,2.7,3.5,1.7,3.3,3.6,3.2,1.5,1.3,4.0,2.9,4.0,4.1,4.1
  Lodging managers,11-9081,53.3,58.6,5.3,9.9,"68,130",High school diploma or equivalent,4.3,3.7,3.2,3.4,4.0,3.6,2.1,4.1,4.1,3.3,1.9,2.1,4.1,3.4,1.5,3.9,3.8
  Tour and travel guides,39-7010,56.3,61.7,5.3,9.5,"36,660",High school diploma or equivalent,3.6,2.3,2.8,2.5,3.3,3.2,1.6,3.6,2.6,2.0,1.3,1.9,3.0,1.9,1.4,3.7,2.9
"  Sales and related workers, all other[2]",41-9099,137.2,142.6,5.3,3.9,"46,370",High school diploma or equivalent,3.9,3.4,2.8,3.0,3.9,3.5,1.8,3.7,3.1,2.8,1.6,1.6,3.6,2.7,1.3,3.7,3.5
  Agricultural equipment operators,45-2091,62.7,68.0,5.3,8.4,"42,580",No formal educational credential,3.2,2.2,2.4,2.4,2.1,3.3,3.1,3.2,3.2,2.0,3.2,2.8,2.6,2.1,2.2,2.7,2.2
